역명,호선,플랫폼층_int,플랫폼층
총신대입구,4호선,-2,B2
충무로,3호선,-4,B4
충무로,4호선,-3,B3
충정로,2호선,-3,B3
충정로,5호선,-5,B5
태릉입구,6호선,-3,B3
태릉입구,7호선,-4,B4
하계,7호선,-3,B3
하남검단산,5호선,-3,B3
하남시청,5호선,-2,B2
하남풍산,5호선,-2,B2
학동,7호선,-3,B3
학여울,3호선,-5,B5
한강진,6호선,-4,B4
한성대입구,4호선,-2,B2
한양대,2호선,2,2F
합정,2호선,-2,B2
합정,6호선,-4,B4
행당,5호선,-5,B5
혜화,4호선,-2,B2
홍대입구,2호선,-2,B2
홍제,3호선,-3,B3
화곡,5호선,-2,B2
화랑대,6호선,-2,B2
회현,4호선,-4,B4
효창공원앞,6호선,-3,B3
